I0229 15:41:19.290870 164201 Oracle_NN.py:283] key:airplane,train_idx:0,train_slicer:2832,num:2832
I0229 15:41:19.291278 164201 Oracle_NN.py:284] key:airplane,train_idx:0,train_slicer:809,num:809
I0229 15:49:55.572352 164201 Oracle_NN.py:157] loss:0.07980390342801406, idx:2464, prediction shapetorch.Size([1, 1024, 3])
I0229 15:50:03.652144 164201 Oracle_NN.py:157] loss:0.0564374191141821, idx:2253, prediction shapetorch.Size([1, 1024, 3])
I0229 15:50:11.876393 164201 Oracle_NN.py:157] loss:0.06244937190976894, idx:1789, prediction shapetorch.Size([1, 1024, 3])
I0229 15:50:19.938234 164201 Oracle_NN.py:157] loss:0.04580969669169198, idx:2538, prediction shapetorch.Size([1, 1024, 3])
I0229 15:50:28.045546 164201 Oracle_NN.py:157] loss:0.03868567109458814, idx:210, prediction shapetorch.Size([1, 1024, 3])
I0229 15:50:36.202485 164201 Oracle_NN.py:157] loss:0.07108186807627792, idx:1900, prediction shapetorch.Size([1, 1024, 3])
I0229 15:50:44.310633 164201 Oracle_NN.py:157] loss:0.05249970482699891, idx:2318, prediction shapetorch.Size([1, 1024, 3])
I0229 15:50:52.436816 164201 Oracle_NN.py:157] loss:0.034349547829779635, idx:722, prediction shapetorch.Size([1, 1024, 3])
I0229 15:51:00.496097 164201 Oracle_NN.py:157] loss:0.07980924494532438, idx:2236, prediction shapetorch.Size([1, 1024, 3])
I0229 15:51:08.555323 164201 Oracle_NN.py:157] loss:0.06906745403283969, idx:609, prediction shapetorch.Size([1, 1024, 3])
I0229 15:51:16.789860 164201 Oracle_NN.py:157] loss:0.04611041445174027, idx:1533, prediction shapetorch.Size([1, 1024, 3])
I0229 15:51:24.680256 164201 Oracle_NN.py:157] loss:0.059302431300369, idx:2135, prediction shapetorch.Size([1, 1024, 3])
I0229 15:51:32.800617 164201 Oracle_NN.py:157] loss:0.03900764526799137, idx:54, prediction shapetorch.Size([1, 1024, 3])
I0229 15:51:40.954310 164201 Oracle_NN.py:157] loss:0.08230377581003193, idx:3, prediction shapetorch.Size([1, 1024, 3])
I0229 15:51:49.339965 164201 Oracle_NN.py:157] loss:0.072793915708108, idx:1990, prediction shapetorch.Size([1, 1024, 3])
I0229 15:51:57.684089 164201 Oracle_NN.py:157] loss:0.06489421188227615, idx:795, prediction shapetorch.Size([1, 1024, 3])
I0229 15:52:08.038999 164201 Oracle_NN.py:157] loss:0.054030300712902546, idx:559, prediction shapetorch.Size([1, 1024, 3])
I0229 15:52:17.107532 164201 Oracle_NN.py:157] loss:0.05516248631254833, idx:623, prediction shapetorch.Size([1, 1024, 3])
I0229 15:52:25.931933 164201 Oracle_NN.py:157] loss:0.05321612951436708, idx:2261, prediction shapetorch.Size([1, 1024, 3])
I0229 15:52:35.241281 164201 Oracle_NN.py:157] loss:0.0620861167834921, idx:870, prediction shapetorch.Size([1, 1024, 3])
I0229 15:52:44.626635 164201 Oracle_NN.py:157] loss:0.032747296811429516, idx:1925, prediction shapetorch.Size([1, 1024, 3])
I0229 15:52:53.048598 164201 Oracle_NN.py:157] loss:0.04698941790632236, idx:2636, prediction shapetorch.Size([1, 1024, 3])
I0229 15:53:02.350436 164201 Oracle_NN.py:157] loss:0.06797508437876887, idx:1690, prediction shapetorch.Size([1, 1024, 3])
I0229 15:53:11.595297 164201 Oracle_NN.py:157] loss:0.05942112322593922, idx:577, prediction shapetorch.Size([1, 1024, 3])
I0229 15:53:20.493592 164201 Oracle_NN.py:157] loss:0.07337427517858461, idx:2515, prediction shapetorch.Size([1, 1024, 3])
I0229 15:53:28.594808 164201 Oracle_NN.py:157] loss:0.04188243515884327, idx:1377, prediction shapetorch.Size([1, 1024, 3])
I0229 15:53:36.659831 164201 Oracle_NN.py:157] loss:0.04072520054678921, idx:285, prediction shapetorch.Size([1, 1024, 3])
I0229 15:53:44.859925 164201 Oracle_NN.py:157] loss:0.0702991675612522, idx:1445, prediction shapetorch.Size([1, 1024, 3])
